Pais,A�O,Emicion Co2,Emicion Metano,Emision Oxido Nitroso,IDH_2019
Sudáfrica,2017,1,44990,19150,0.709
Sudán,2017,1,58410,29270,0.51
Sudán del Sur,2017,1,32780,21630,0.433
Suecia,2017,1,4720,5100,0.945
Suiza,2017,1,4830,2180,0.955
Tailandia,2017,1,84450,21330,0.777
Tayikistán,2017,1,5490,1970,0.668
Togo,2017,1,3410,1760,0.515
Tonga,2017,1,100,50,0.725
Trinidad y Tobago,2017,1,1270,390,0.796
Túnez,2017,1,6330,3240,0.74
Turkmenistán,2017,1,49870,3430,0.715
Turquía,2017,1,44980,34620,0.82
Ucrania,2017,1,63650,24770,0.779
Uganda,2017,1,32770,15330,0.544
Uruguay,2017,1,21370,7760,0.817
Uzbekistán,2017,1,106260,16080,0.72
Vanuatu,2017,1,500,180,0.609
Venezuela,2017,1,72500,13030,0.711
Zambia,2017,1,17450,14680,0.584
